frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,4.18,4.18,1.77,1.77,-1.78,-1.80,2.40,2.40,2.41
20.20,4.19,4.19,1.78,1.77,-1.78,-1.79,2.41,2.41,2.41
20.40,4.19,4.19,1.78,1.77,-1.77,-1.77,2.42,2.42,2.41
20.61,4.18,4.18,1.77,1.77,-1.76,-1.76,2.42,2.42,2.41
20.81,4.17,4.17,1.76,1.76,-1.75,-1.75,2.42,2.42,2.41
21.02,4.15,4.15,1.74,1.74,-1.74,-1.73,2.41,2.42,2.41
21.23,4.13,4.13,1.72,1.72,-1.72,-1.72,2.41,2.41,2.41
21.44,4.11,4.11,1.70,1.70,-1.71,-1.70,2.41,2.41,2.41
21.66,4.09,4.09,1.68,1.68,-1.69,-1.69,2.41,2.41,2.41
21.87,4.08,4.08,1.66,1.66,-1.67,-1.67,2.41,2.41,2.41
22.09,4.06,4.06,1.64,1.64,-1.64,-1.66,2.41,2.41,2.41
22.31,4.03,4.03,1.62,1.62,-1.62,-1.64,2.41,2.41,2.41
22.54,4.01,4.01,1.60,1.60,-1.60,-1.62,2.41,2.41,2.41
22.76,3.99,3.99,1.58,1.58,-1.58,-1.60,2.41,2.41,2.41
22.99,3.97,3.97,1.56,1.56,-1.56,-1.58,2.41,2.41,2.41
23.22,3.95,3.95,1.54,1.54,-1.54,-1.56,2.41,2.41,2.41
23.45,3.93,3.93,1.52,1.52,-1.52,-1.54,2.41,2.41,2.41
23.69,3.91,3.91,1.50,1.50,-1.50,-1.52,2.41,2.41,2.41
23.92,3.89,3.89,1.48,1.48,-1.48,-1.50,2.41,2.41,2.41
24.16,3.87,3.87,1.46,1.46,-1.47,-1.47,2.41,2.41,2.41
24.40,3.86,3.86,1.45,1.45,-1.45,-1.45,2.41,2.41,2.41
24.65,3.84,3.84,1.43,1.43,-1.43,-1.42,2.41,2.41,2.41
24.89,3.82,3.82,1.41,1.41,-1.41,-1.40,2.41,2.41,2.41
25.14,3.80,3.80,1.39,1.39,-1.38,-1.37,2.42,2.41,2.41
25.39,3.77,3.77,1.36,1.36,-1.36,-1.34,2.42,2.42,2.41
25.65,3.74,3.74,1.33,1.33,-1.33,-1.31,2.42,2.42,2.41
25.91,3.71,3.71,1.30,1.30,-1.29,-1.28,2.42,2.42,2.41
26.16,3.67,3.67,1.26,1.26,-1.26,-1.25,2.42,2.42,2.42
26.43,3.64,3.64,1.22,1.22,-1.22,-1.22,2.42,2.42,2.42
26.69,3.60,3.60,1.18,1.18,-1.18,-1.19,2.42,2.42,2.42
26.96,3.57,3.57,1.14,1.14,-1.14,-1.16,2.42,2.42,2.43
27.23,3.53,3.53,1.10,1.10,-1.10,-1.13,2.43,2.43,2.43
27.50,3.50,3.50,1.07,1.07,-1.07,-1.11,2.43,2.43,2.43
27.77,3.47,3.47,1.04,1.04,-1.04,-1.09,2.43,2.43,2.43
28.05,3.45,3.45,1.01,1.01,-1.02,-1.07,2.44,2.43,2.44
28.33,3.43,3.43,0.99,0.99,-1.00,-1.06,2.44,2.44,2.44
28.62,3.42,3.42,0.97,0.98,-0.98,-1.05,2.44,2.44,2.44
28.90,3.41,3.41,0.96,0.96,-0.96,-1.05,2.45,2.45,2.45
29.19,3.41,3.41,0.96,0.96,-0.96,-1.05,2.45,2.45,2.45
29.48,3.41,3.41,0.95,0.95,-0.95,-1.05,2.46,2.46,2.45
29.78,3.41,3.41,0.95,0.95,-0.95,-1.05,2.46,2.46,2.46
30.08,3.41,3.41,0.95,0.95,-0.95,-1.05,2.46,2.46,2.46
30.38,3.41,3.41,0.95,0.95,-0.95,-1.06,2.46,2.46,2.46
30.68,3.42,3.42,0.95,0.95,-0.96,-1.06,2.47,2.46,2.47
30.99,3.43,3.43,0.96,0.96,-0.96,-1.06,2.47,2.47,2.47
31.30,3.45,3.45,0.97,0.97,-0.98,-1.06,2.47,2.47,2.47
31.61,3.47,3.47,0.99,0.99,-0.99,-1.07,2.48,2.48,2.48
31.93,3.49,3.49,1.01,1.01,-1.01,-1.07,2.48,2.48,2.48
32.24,3.51,3.51,1.03,1.03,-1.03,-1.06,2.49,2.49,2.48
32.57,3.54,3.54,1.05,1.05,-1.05,-1.06,2.49,2.49,2.49
32.89,3.56,3.56,1.07,1.07,-1.08,-1.06,2.48,2.48,2.49
33.22,3.58,3.58,1.10,1.10,-1.10,-1.06,2.48,2.48,2.48
