frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,9.83,9.83,5.93,5.93,-5.93,-5.93,3.90,3.90,3.90
20.20,9.81,9.81,5.91,5.91,-5.91,-5.92,3.90,3.90,3.90
20.40,9.80,9.80,5.90,5.90,-5.89,-5.90,3.90,3.90,3.90
20.61,9.78,9.78,5.88,5.88,-5.88,-5.89,3.90,3.90,3.90
20.81,9.77,9.77,5.86,5.86,-5.86,-5.88,3.90,3.90,3.90
21.02,9.75,9.75,5.85,5.85,-5.85,-5.87,3.90,3.90,3.90
21.23,9.74,9.74,5.84,5.84,-5.84,-5.86,3.90,3.90,3.90
21.44,9.73,9.73,5.82,5.82,-5.83,-5.84,3.90,3.90,3.90
21.66,9.72,9.72,5.82,5.82,-5.82,-5.83,3.90,3.90,3.90
21.87,9.71,9.71,5.81,5.81,-5.81,-5.82,3.90,3.90,3.90
22.09,9.70,9.70,5.80,5.80,-5.80,-5.80,3.90,3.90,3.90
22.31,9.70,9.70,5.80,5.80,-5.80,-5.79,3.90,3.90,3.90
22.54,9.69,9.69,5.79,5.79,-5.79,-5.78,3.90,3.90,3.90
22.76,9.69,9.69,5.79,5.79,-5.79,-5.76,3.90,3.90,3.90
22.99,9.69,9.69,5.78,5.78,-5.78,-5.75,3.90,3.90,3.90
23.22,9.68,9.68,5.78,5.78,-5.78,-5.74,3.90,3.90,3.90
23.45,9.68,9.68,5.78,5.78,-5.78,-5.72,3.90,3.90,3.90
23.69,9.67,9.67,5.77,5.77,-5.77,-5.71,3.90,3.90,3.90
23.92,9.67,9.67,5.76,5.76,-5.76,-5.69,3.90,3.90,3.90
24.16,9.66,9.66,5.76,5.76,-5.76,-5.68,3.90,3.90,3.90
24.40,9.65,9.65,5.75,5.75,-5.75,-5.67,3.90,3.90,3.90
24.65,9.64,9.64,5.74,5.74,-5.74,-5.65,3.90,3.90,3.90
24.89,9.63,9.63,5.72,5.72,-5.72,-5.64,3.90,3.90,3.90
25.14,9.61,9.61,5.71,5.71,-5.71,-5.62,3.90,3.90,3.90
25.39,9.60,9.60,5.69,5.69,-5.69,-5.61,3.90,3.90,3.90
25.65,9.58,9.58,5.68,5.68,-5.68,-5.59,3.90,3.90,3.90
25.91,9.56,9.56,5.66,5.66,-5.66,-5.58,3.91,3.91,3.91
26.16,9.54,9.54,5.64,5.64,-5.64,-5.57,3.91,3.91,3.91
26.43,9.52,9.52,5.61,5.61,-5.61,-5.55,3.91,3.91,3.91
26.69,9.50,9.50,5.59,5.59,-5.59,-5.54,3.91,3.91,3.91
26.96,9.48,9.48,5.57,5.57,-5.57,-5.52,3.92,3.92,3.92
27.23,9.46,9.46,5.54,5.54,-5.54,-5.51,3.92,3.92,3.92
27.50,9.44,9.44,5.52,5.52,-5.52,-5.49,3.92,3.92,3.92
27.77,9.42,9.42,5.49,5.49,-5.50,-5.48,3.93,3.93,3.93
28.05,9.40,9.40,5.47,5.47,-5.47,-5.46,3.93,3.93,3.93
28.33,9.38,9.38,5.45,5.45,-5.45,-5.45,3.93,3.93,3.93
28.62,9.36,9.36,5.43,5.43,-5.43,-5.43,3.93,3.93,3.94
28.90,9.35,9.35,5.41,5.41,-5.41,-5.42,3.94,3.94,3.94
29.19,9.33,9.33,5.39,5.39,-5.39,-5.41,3.94,3.94,3.94
29.48,9.31,9.31,5.37,5.37,-5.37,-5.39,3.95,3.95,3.95
29.78,9.30,9.30,5.35,5.35,-5.35,-5.38,3.95,3.95,3.95
30.08,9.28,9.28,5.33,5.33,-5.32,-5.36,3.95,3.95,3.95
30.38,9.26,9.26,5.30,5.30,-5.30,-5.35,3.96,3.96,3.96
30.68,9.24,9.24,5.28,5.28,-5.28,-5.34,3.96,3.96,3.96
30.99,9.22,9.22,5.26,5.26,-5.26,-5.32,3.96,3.96,3.96
31.30,9.20,9.20,5.23,5.23,-5.23,-5.31,3.97,3.97,3.97
31.61,9.18,9.18,5.21,5.21,-5.21,-5.29,3.97,3.97,3.97
31.93,9.16,9.16,5.19,5.19,-5.18,-5.28,3.98,3.98,3.97
32.24,9.14,9.14,5.16,5.16,-5.16,-5.27,3.98,3.98,3.98
32.57,9.12,9.12,5.14,5.14,-5.14,-5.25,3.98,3.98,3.98
32.89,9.10,9.10,5.12,5.12,-5.12,-5.24,3.97,3.97,3.98
33.22,9.08,9.08,5.10,5.10,-5.11,-5.23,3.96,3.97,3.98
33.55,9.06,9.06,5.10,5.10,-5.10,-5.21,3.96,3.96,3.96
33.89,9.04,9.04,5.09,5.09,-5.09,-5.20,3.95,3.95,3.95
34.23,9.03,9.03,5.09,5.09,-5.09,-5.19,3.94,3.94,3.93
34.57,9.01,9.01,5.09,5.09,-5.09,-5.17,3.93,3.93,3.92
34.92,9.00,9.00,5.09,5.09,-5.08,-5.16,3.91,3.91,3.91
35.27,8.98,8.98,5.08,5.08,-5.08,-5.15,3.90,3.90,3.90
35.62,8.96,8.96,5.08,5.08,-5.07,-5.13,3.89,3.89,3.89
35.97,8.94,8.94,5.07,5.07,-5.07,-5.12,3.87,3.87,3.87
36.33,8.92,8.92,5.06,5.06,-5.06,-5.11,3.86,3.86,3.86
36.70,8.90,8.90,5.05,5.05,-5.05,-5.10,3.85,3.85,3.85
37.06,8.88,8.88,5.04,5.04,-5.04,-5.08,3.84,3.84,3.84
37.43,8.87,8.87,5.03,5.03,-5.04,-5.07,3.83,3.83,3.83
37.81,8.85,8.85,5.03,5.03,-5.03,-5.06,3.82,3.82,3.82
38.19,8.83,8.82,5.02,5.02,-5.02,-5.05,3.81,3.81,3.80
38.57,8.80,8.80,5.01,5.01,-5.01,-5.04,3.79,3.79,3.79
38.95,8.76,8.76,5.00,5.00,-4.99,-5.02,3.77,3.77,3.77
39.34,8.73,8.73,4.98,4.98,-4.98,-5.01,3.74,3.74,3.75
39.74,8.69,8.69,4.97,4.97,-4.97,-5.00,3.72,3.72,3.73
40.14,8.66,8.66,4.96,4.96,-4.96,-4.99,3.70,3.70,3.70
40.54,8.63,8.63,4.95,4.95,-4.95,-4.98,3.68,3.68,3.68
40.94,8.60,8.60,4.95,4.95,-4.95,-4.96,3.66,3.66,3.66
41.35,8.58,8.58,4.94,4.94,-4.94,-4.95,3.64,3.64,3.64
41.76,8.56,8.56,4.94,4.94,-4.93,-4.94,3.62,3.62,3.62
42.18,8.53,8.53,4.93,4.93,-4.93,-4.93,3.61,3.61,3.60
42.60,8.51,8.51,4.92,4.92,-4.92,-4.92,3.59,3.59,3.59
43.03,8.48,8.48,4.91,4.92,-4.91,-4.91,3.57,3.57,3.57
43.46,8.46,8.45,4.91,4.91,-4.91,-4.89,3.55,3.55,3.55
43.90,8.43,8.43,4.91,4.90,-4.90,-4.88,3.52,3.52,3.52
44.33,8.39,8.40,4.90,4.89,-4.90,-4.87,3.49,3.49,3.50
44.78,8.36,8.36,4.87,4.88,-4.90,-4.86,3.47,3.47,3.49
45.23,8.33,8.33,4.88,4.89,-4.89,-4.85,3.44,3.44,3.46
45.68,8.30,8.30,4.90,4.89,-4.88,-4.84,3.42,3.42,3.40
46.13,8.28,8.28,4.91,4.89,-4.87,-4.82,3.40,3.40,3.37
46.60,8.25,8.25,4.87,4.87,-4.87,-4.81,3.38,3.38,3.38
