frequency,Rtings.com,Harman IEM,SenseLab Aizu,SoundGuys.com Studio Curve,SoundGuys.com Headphone Preference Curve,Type 5128 Diffuse Field Response
20,5.131673869,7.919276088,4.749887458,-0.05178851845,4.63427836,-1.927763173
20.145037,5.127670869,7.917677568,4.747326458,-0.05178851845,4.63427836,-1.929567308
20.291126,5.123667224,7.915408628,4.744770642,-0.05178851845,4.63427836,-1.931330852
20.438274,5.118661618,7.912902767,4.742221243,-0.05178851845,4.63427836,-1.932998008
20.58649,5.112655922,7.910451,4.739679535,-0.05178851845,4.63427836,-1.934510569
20.73578,5.106651434,7.908816575,4.73714684,-0.05178851845,4.63427836,-1.935807844
20.886153,5.100646956,7.907413037,4.734624527,-0.05178851845,4.63427836,-1.93682658
21.037616,5.094639959,7.905781083,4.732114015,-0.05178851845,4.63427836,-1.93750089
21.190178,5.087635253,7.904342354,4.729616772,-0.05178851845,4.63427836,-1.937762171
21.343846,5.0816303,7.903581102,4.727266109,-0.05178851845,4.63427836,-1.937763173
21.498628,5.074621503,7.902489755,4.725022865,-0.05178851845,4.63427836,-1.937763173
21.654533,5.067616207,7.900850972,4.722622521,-0.05178851845,4.63427836,-1.937763173
21.811569,5.060615989,7.899154086,4.719788929,-0.05178851845,4.63427836,-1.937763173
21.969743,5.054610906,7.897360711,4.716239507,-0.05178851845,4.63427836,-1.937763173
22.129064,5.047600609,7.897416393,4.711963908,-0.05178851845,4.63427836,-1.937763173
22.289541,5.040589864,7.897874317,4.70711155,-0.05178851845,4.63427836,-1.937763173
22.451181,5.03258463,7.898497346,4.701838996,-0.05178851845,4.63427836,-1.937816195
22.613994,5.025584814,7.89955358,4.696309985,-0.05178851845,4.63427836,-1.938603784
22.777988,5.01857969,7.901103859,4.690695647,-0.05178851845,4.63427836,-1.940114671
22.94317,5.011567373,7.903424255,4.685174729,-0.05178851845,4.63427836,-1.942054925
23.109551,5.003562363,7.905949636,4.679933835,-0.05178851845,4.63427836,-1.94411734
23.277138,4.996563875,7.908837893,4.674921914,-0.05178851845,4.63427836,-1.945981033
23.44594,4.989558777,7.912465551,4.669902649,-0.05178851845,4.63427836,-1.947311026
23.615967,4.982544911,7.916679784,4.664877702,-0.05178851845,4.63427836,-1.947763173
23.787226,4.974540094,7.921241679,4.659849809,-0.05178851845,4.63427836,-1.947763173
23.959728,4.967542932,7.926119138,4.654821817,-0.05178851845,4.63427836,-1.947763173
24.13348,4.96053771,7.931191712,4.649796688,-0.05178851845,4.63427836,-1.947763173
24.308493,4.953532449,7.936540707,4.644777501,-0.05178851845,4.63427836,-1.947763173
24.484774,4.946527424,7.942114071,4.639767456,-0.05178851845,4.63427836,-1.947763173
24.662334,4.939511102,7.94798398,4.634767104,-0.05178851845,4.63427836,-1.947763173
24.841182,4.931506748,7.954397855,4.629773358,-0.05178851845,4.63427836,-1.947763173
25.021327,4.924511769,7.961037534,4.624784337,-0.05178851845,4.63427836,-1.94776918
25.202778,4.917494172,7.967354213,4.619798069,-0.05178851845,4.63427836,-1.948262012
25.385544,4.909490091,7.973754362,4.614812479,-0.05178851845,4.63427836,-1.94940549
25.569637,4.902496069,7.980618302,4.609825388,-0.05178851845,4.63427947,-1.950994309
25.755064,4.895477253,7.987631012,4.60483451,-0.05178851845,4.635656269,-1.952813811
25.941836,4.887473768,7.994402882,4.599837449,-0.05178851845,4.637949798,-1.954639696
26.129962,4.880465945,8.000970879,4.59488534,-0.05178851845,4.640009929,-1.956237725
26.319453,4.872462696,8.007029067,4.590012597,-0.05178851845,4.642149396,-1.957363419
26.510318,4.865454635,8.012558199,4.585173712,-0.05178851845,4.644270234,-1.957763173
26.702567,4.857451253,8.017604841,4.580321001,-0.05178851845,4.646406472,-1.957763173
26.89621,4.850459552,8.022192182,4.575404662,-0.05178851845,4.648558239,-1.957763173
27.091257,4.84343766,8.026210422,4.570372715,-0.05178851845,4.650725659,-1.957763173
27.287719,4.835434632,8.029920509,4.56517093,-0.05178851845,4.652908856,-1.957763173
27.485606,4.828443907,8.033472921,4.559742764,-0.05178851845,4.655107957,-1.957763173
27.684927,4.821420684,8.036537239,4.554135801,-0.05178851845,4.657323151,-1.957763173
27.885694,4.813418522,8.039264484,4.548423676,-0.05178851845,4.659554362,-1.957763173
28.087917,4.806409957,8.040808813,4.542572222,-0.05178851845,4.661801476,-1.957798187
28.291607,4.798385889,8.041836396,4.536545771,-0.05178851845,4.664064878,-1.958129986
28.496773,4.790401998,8.042275967,4.530307165,-0.05178851845,4.666344936,-1.958773972
28.703428,4.783393021,8.041264864,4.523817708,-0.05178851845,4.668641511,-1.959681305
28.911581,4.775368594,8.039139665,4.517037124,-0.05178851845,4.670954486,-1.960800829
29.121243,4.767362626,8.037116213,4.509923506,-0.05178851845,4.673284253,-1.962079002
29.332426,4.759357336,8.034911011,4.502310097,-0.05178851845,4.67563118,-1.963459815
29.545141,4.75132908,8.032874717,4.494111343,-0.05178851845,4.677995126,-1.964884723
29.759398,4.7423269,8.031024584,4.485448773,-0.05178851845,4.680376037,-1.966292565
29.975209,4.734338688,8.02943087,4.476449845,-0.05178851845,4.682774104,-1.96761948
30.192584,4.726333514,8.028015718,4.46724784,-0.05178851845,4.685189395,-1.968933136
30.411537,4.718303339,8.027276088,4.457982043,-0.05178851845,4.687622229,-1.970383676
30.632077,4.709302658,8.027276088,4.448797926,-0.05178851845,4.6900729,-1.971924502
30.854216,4.701290485,8.027516061,4.439847338,-0.05178851845,4.692541478,-1.973504614
31.077966,4.692289204,8.028218136,4.431071188,-0.05178851845,4.695028159,-1.975070734
31.303339,4.684303716,8.028798086,4.42228738,-0.05178851845,4.697532858,-1.976567233
31.530346,4.676271143,8.029342976,4.413498961,-0.05178851845,4.700055528,-1.977939347
31.759,4.667271416,8.029808011,4.404709237,-0.05178851845,4.702596353,-1.979352025
31.989311,4.659258237,8.030254762,4.395921643,-0.05178851845,4.705155333,-1.980872188
32.221293,4.650258951,8.030827862,4.387139743,-0.05178851845,4.707736056,-1.982423363
32.454957,4.642245342,8.031260588,4.378367236,-0.05178851845,4.711009598,-1.983925675
32.690316,4.633245315,8.031276088,4.369607958,-0.05178851845,4.712809233,-1.98529574
32.927381,4.625262052,8.031276088,4.360922809,-0.05178851845,4.71163448,-1.986446564
33.166166,4.617225987,8.031276088,4.352335984,-0.05178851845,4.708924799,-1.987287427
33.406682,4.608226521,8.031276088,4.343795173,-0.05178851845,4.700558058,-1.987723775
33.648942,4.600242912,8.031015547,4.335245699,-0.05178851845,4.689376126,-1.987763173
33.89296,4.592238234,8.029864442,4.326630446,-0.05178851845,4.679655699,-1.987763173
34.138746,4.584200138,8.028403766,4.317889788,-0.05178851845,4.669864455,-1.987763173
34.386316,4.575201463,8.026347404,4.308961512,-0.05178851845,4.659938487,-1.987763173
34.63568,4.567220367,8.0238668,4.299780735,-0.05178851845,4.650084096,-1.987763173
34.886853,4.559180765,8.020797509,4.290410758,-0.05178851845,4.640205754,-1.987763173
35.139847,4.550184172,8.017275556,4.280942918,-0.05178851845,4.631078043,-1.987763173
35.394676,4.542169558,8.013167084,4.271337845,-0.05178851845,4.623458167,-1.987763173
35.651353,4.533133398,8.008310073,4.261554445,-0.05178851845,4.616186297,-1.987879065
35.909892,4.524165536,8.002509674,4.251549881,-0.05178851845,4.608632749,-1.988553025
36.170305,4.516150276,7.995672623,4.241279529,-0.05178851845,4.601024327,-1.989713485
36.432607,4.507116643,7.987550373,4.230696917,-0.05178851845,4.593360418,-1.991222703
36.696811,4.498072454,7.977948274,4.219753676,-0.05178851845,4.585640926,-1.992936632
36.962931,4.488075111,7.966862081,4.208303437,-0.05178851845,4.577865631,-1.994704724
37.23098,4.479096577,7.954818172,4.196301786,-0.05178851845,4.570037495,-1.996369735
37.500974,4.470050767,7.942232092,4.183864708,-0.05178851845,4.562598661,-1.997767519
37.772926,4.46005604,7.930221553,4.171113572,-0.05178851845,4.554076636,-1.998955114
38.046849,4.451036301,7.918211498,4.158175278,-0.05178851845,4.542195871,-2.000105047
38.32276,4.441042103,7.905531997,4.145182431,-0.05178851845,4.52890796,-2.001225601
38.600671,4.43202408,7.892130453,4.132273513,-0.05178851845,4.515595777,-2.00232545
38.880597,4.421983223,7.878365063,4.119593063,-0.05178851845,4.502032523,-2.003413665
39.162553,4.412021236,7.864238735,4.107136096,-0.05178851845,4.488827781,-2.004499727
39.446554,4.403002498,7.849952021,4.094766925,-0.05178851845,4.474678608,-2.005593542
39.732615,4.392963075,7.83573576,4.08243547,-0.05178851845,4.458128841,-2.006705453
40.02075,4.382955586,7.821204222,4.070089388,-0.05178851845,4.440534349,-2.007846174
40.310975,4.372950396,7.805882182,4.057673992,-0.05178851845,4.422173563,-2.009007072
40.603304,4.362897627,7.790097031,4.045132186,-0.05178851845,4.404676405,-2.01017639
